1 Abs / Core#4 Triceps#1 Back#2 Biceps,arms
1 Triceps#1 Biceps,arms
1 Triceps#1 Biceps#1 Shoulders,arms
1 Triceps#1 Biceps#2 Shoulders,arms
1 Triceps#2 Biceps#1 Chest,arms
1 Triceps#2 Biceps#3 Shoulders,arms
2 Abs / Core#1 Shoulders#4 Triceps#2 Biceps,arms
2 Triceps#2 Biceps,arms
2 Triceps#2 Biceps,arms
3 Triceps#2 Biceps,arms
3 Triceps#2 Biceps#1 Back,arms
3 Triceps#3 Biceps,arms
3 Triceps#3 Biceps,arms
3 Triceps#3 Biceps,arms
3 Triceps#3 Biceps,arms
3 Triceps#3 Biceps#1 Back,arms
3 Triceps#3 Biceps#1 Back,arms
3 Triceps#4 Biceps,arms
4 Triceps#2 Biceps#2 Abs / Core,arms
4 Triceps#3 Biceps,arms
4 Triceps#3 Biceps,arms
4 Triceps#3 Biceps,arms
4 Triceps#3 Biceps,arms
1 Back#2 Chest,chestBack
1 Chest#1 Back,chestBack
2 Abs / Core#2 Back#1 Cardio#2 Chest,chestBack
2 Back#2 Chest,chestBack
2 Back#3 Chest,chestBack
2 Back#3 Chest#1 Abs / Core,chestBack
2 Back#4 Chest,chestBack
2 Chest#1 Back,chestBack
2 Chest#1 Back,chestBack
2 Chest#1 Back#1 Abs / Core,chestBack
2 Chest#2 Back,chestBack
2 Chest#2 Back,chestBack
2 Chest#2 Back,chestBack
2 Chest#3 Back,chestBack
3 Back#4 Chest,chestBack
3 Chest#1 Back,chestBack
3 Chest#2 Back,chestBack
3 Chest#2 Back,chestBack
3 Chest#2 Back,chestBack
3 Chest#3 Back,chestBack
3 Chest#3 Back,chestBack
3 Chest#3 Back,chestBack
3 Chest#3 Back,chestBack
3 Chest#3 Back,chestBack
3 Chest#3 Back,chestBack
4 Back#3 Chest,chestBack
4 Chest#1 Back,chestBack
4 Chest#2 Back#1 Abs / Core,chestBack
4 Chest#2 Back#1 Biceps,chestBack
4 Chest#3 Back,chestBack
1 Abs / Core#1 Legs#2 Shoulders#2 Triceps#2 Biceps,fullBody
1 Back#3 Shoulders#2 Legs,fullBody
1 Biceps#2 Back#1 Triceps#1 Chest,fullBody
1 Shoulders#3 Back#2 Triceps#1 Biceps,fullBody
2 Back#1 Legs#4 Shoulders,fullBody
2 Biceps#1 Legs#2 Triceps#1 Chest,fullBody
2 Legs#1 Shoulders#1 Back#1 Chest,fullBody
2 Legs#2 Abs / Core#3 Shoulders,push
3 Chest#1 Abs / Core#1 Legs,push
3 Shoulders#1 Back#3 Legs,fullBody
1 Back#3 Legs,legs
1 Back#4 Legs,legs
1 Legs,legs
1 Shoulders#3 Legs,legs
1 Back#2 Legs,pull
1 Shoulders#2 Legs,push
1 Triceps#3 Shoulders,push
2 Legs#3 Shoulders,push
2 Legs#3 Shoulders,push
2 Legs#3 Shoulders,push
2 Legs#4 Shoulders,push
3 Chest#2 Shoulders,push
3 Legs#3 Shoulders,push
3 Legs#3 Shoulders,push
1 Abs / Core#1 Back#2 Shoulders,shoulders
1 Legs#3 Shoulders,shoulders
1 Legs#3 Shoulders,shoulders
1 Legs#4 Shoulders,shoulders
2 Abs / Core#3 Shoulders,shoulders
2 Back#3 Shoulders,shoulders
3 Abs / Core#3 Shoulders,shoulders
3 Shoulders#1 Legs,shoulders
4 Shoulders,shoulders
6 Shoulders,shoulders
